id,name,surname,club,categories
,Ewa,ŻUKOWSKA,Kraśnik/CKB Kraśnik,Pro Kobiet +65 kg / Woman Professional +65 kg
,Agnieszka,BARTOS,Łowicz,Pro Kobiet 65 kg / Woman Professional 65 kg
,Zuzanna,BRUST,Bochnia/Centrum Kettlebell Bochnia,Pro Kobiet 65 kg / Woman Professional 65 kg
,Katarzyna,CHICZEWSKA,Warszawa,Pro Kobiet 65 kg / Woman Professional 65 kg
,Małgorzata,GRABKA,Ząbkowice Śląskie/Teamsobala,Pro Kobiet 65 kg / Woman Professional 65 kg
,Agnieszka,JELEŃ,CKB Hall of madness Siemianowice Śląskie,Pro Kobiet 65 kg / Woman Professional 65 kg
,Karolina,JĘDRYCH,Lidzbark Warmiński/Iron heart,Pro Kobiet 65 kg / Woman Professional 65 kg
,Zuzanna,KOZŁOWSKA,Nowa Ruda/Magic team,Pro Kobiet 65 kg / Woman Professional 65 kg
,Agnieszka,POLAKOWSKA,Koszalin/Akademia Sprawności Kłodzko,Pro Kobiet 65 kg / Woman Professional 65 kg
,Anna,RÓŻAŃSKA,Opole/Strefa Mocy,Pro Kobiet 65 kg / Woman Professional 65 kg
,Teodozja,SOKOŁOWSKA,Koszalin/Lumberjacks Cross Garage,Pro Kobiet 65 kg / Woman Professional 65 kg
,Anna,WARĘŻAK,Bolesławiec/CKB Bolesławiec,Pro Kobiet 65 kg / Woman Professional 65 kg
,Kacper,ALFLER,Kielce/Trener Kacper Team,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Mateusz,BISIKIEWICZ,Nowa Ruda/Teamsobala,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Bartłomiej,CHEŁSTWOSKI,Żyrardów/Żyrardowskie Dziki,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Radosław,CYBULKO,Ełk/Imperium Siły,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Michał,DĄBROWSKI,Zielona Góra/Mike's condition corner,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Maciej,DOBOSZ,Wrocław,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Paweł,FRYCZ,Wrocław,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Arkadiusz,GRUSZKA,Pleszew/Hardstyle studio,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Ernest,JAMKA,Kraków/Trener Kacper Team,Pro Mężczyzn +85 kg / Man Professional +85 kg
,Robert,JAROMIN,Kęty/Dorian FC,Pro Mężczyzn +85 kg / Man Professional +85 kg
